StartTime,Flgs,Proto,SrcAddr,Sport,Dir,DstAddr,Dport,TotPkts,TotBytes,State
1574786739.070039, e        ,tcp,140.82.114.25,443,  <?>,192.168.0.126,52622,4,330,CON
1574786739.375608, e        ,arp,192.168.0.100,,  who,192.168.0.200,,3,180,INT
1574786739.580562, e        ,udp,192.168.0.191,54383,   ->,239.255.255.250,1900,3,648,INT
1574786739.867153, e        ,tcp,192.168.0.126,53167,   ->,40.77.226.250,443,19,6671,FIN
1574786739.888429, e        ,arp,192.168.0.101,,  who,192.168.0.200,,5,300,INT
1574786739.990123, e        ,arp,192.168.0.102,,  who,192.168.0.200,,3,180,INT
1574786740.778188, e        ,tcp,192.168.0.126,64295,  <?>,17.248.134.154,443,8,2323,CON
1574786740.936947, e        ,tcp,192.168.0.126,65223,  <?>,18.211.118.21,443,4,376,CON
1574786741.423845, e        ,udp,192.168.0.135,5353,   ->,224.0.0.251,5353,1,119,INT
1574786741.424613, e        ,udp,192.168.0.109,5353,   ->,224.0.0.251,5353,2,809,INT
1574786741.426038, e        ,udp,192.168.0.105,5353,   ->,224.0.0.251,5353,2,809,INT
1574786742.244142, e        ,tcp,192.168.0.126,64279,  <?>,52.27.133.176,443,109,18598,CON
1574786744.393407, e        ,arp,192.168.0.100,,  who,192.168.0.200,,5,300,INT
1574786744.762256, e g      ,tcp,192.168.0.126,53163,  <?>,52.114.74.43,443,14,8486,FIN
1574786744.940973, e g      ,tcp,192.168.0.126,52938,  <?>,18.234.32.175,443,10,3046,CON
1574786745.007779, e        ,arp,192.168.0.102,,  who,192.168.0.200,,5,300,INT
1574786746.032191, e        ,udp,192.168.0.122,52844,   ->,255.255.255.255,10001,1,188,INT
1574786746.032565, e        ,udp,192.168.0.121,41620,   ->,255.255.255.255,10001,1,188,INT
1574786746.898960, e        ,tcp,192.168.0.126,53162,  <?>,13.107.136.9,443,9,3115,CON
1574786746.953442, e        ,arp,192.168.0.101,,  who,192.168.0.200,,6,360,INT
1574786747.055967, e        ,udp,192.168.0.131,17500,   ->,255.255.255.255,17500,1,211,INT
1574786747.056423, e        ,udp,192.168.0.131,17500,   ->,192.168.0.255,17500,1,211,INT
1574786748.353907, e        ,udp,192.168.0.126,60427,  <->,192.168.0.1,53,2,188,CON
